status,completeness,subject,muscle,side,session,date,channel_hint,delsys,ze1,ze2,match_note
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_a09_1.csv,09-09_11-19-17_426_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_1.txt,09-09_11-27-57_319_Ch1_(Frank 右脛前肌)_ze2_褲XL_1.txt,ZE1一對一 score=198（Frank / 脛前肌 / 右 / a09 / 09-09 / #1｜建議ZE1 Ch2）；ZE2一對一 score=143（Frank / 脛前肌 / 右 / 09-09 / #1｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_a09_2.csv,09-09_11-21-27_792_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_2.txt,09-09_11-30-01_689_Ch1_(Frank 右脛前肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 脛前肌 / 右 / a09 / 09-09 / #2｜建議ZE1 Ch2）；ZE2一對一 score=143（Frank / 脛前肌 / 右 / 09-09 / #2｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a10,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_a10_1.csv,09-09_11-23-48_013_ExgCh2Data_(Frank 右脛前肌)_a10_褲XL_1.txt,09-09_11-27-57_319_Ch1(frank右脛前肌).txt,ZE1一對一 score=198（Frank / 脛前肌 / 右 / a10 / 09-09 / #1｜建議ZE1 Ch2）；ZE2一對一 score=135（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a10,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_a10_2.csv,09-09_11-25-35_742_ExgCh2Data_(Frank 右脛前肌)_a10_褲XL_2.txt,09-09_11-30-01_689_Ch1(frank右脛前肌).txt,ZE1一對一 score=198（Frank / 脛前肌 / 右 / a10 / 09-09 / #2｜建議ZE1 Ch2）；ZE2一對一 score=135（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,complete,Frank,腓腸肌,右,a09,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌(Delsys)_with_a09_1.csv,09-09_11-48-01_319_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_1.txt,09-09_11-59-10_048_Ch2_(Frank 右腓腸肌)_ze2_褲XL_1.txt,ZE1一對一 score=198（Frank / 腓腸肌 / 右 / a09 / 09-09 / #1｜建議ZE1 Ch1）；ZE2一對一 score=143（Frank / 腓腸肌 / 右 / 09-09 / #1｜建議ZE2 Ch2）
可比對,complete,Frank,腓腸肌,右,a10,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌(Delsys)_with_a10_1.csv,09-09_11-52-29_385_ExgCh1Data_(Frank 右腓腸肌)_a10_褲XL_1.txt,09-09_12-1-14_084_Ch2_(Frank 右腓腸肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 腓腸肌 / 右 / a10 / 09-09 / #1｜建議ZE1 Ch1）；ZE2一對一 score=135（Frank / 腓腸肌 / 右 / 09-09｜建議ZE2 Ch2）
可比對,complete,Frank,腓腸肌,右,a10,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌(Delsys)_with_a10_2.csv,09-09_11-55-52_064_ExgCh1Data_(Frank 右腓腸肌)_a10_褲XL_2.txt,09-03_15-32-47_275_Ch2(Frank 右腓腸肌).txt,ZE1一對一 score=198（Frank / 腓腸肌 / 右 / a10 / 09-09 / #2｜建議ZE1 Ch1）；ZE2一對一 score=115（Frank / 腓腸肌 / 右｜建議ZE2 Ch2）
可比對,complete,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_a09_1.csv,09-09_09-41-19_786_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_1.txt,09-09_10-8-56_879_Ch2_(Frank_左脛前肌)_ze2_褲XL_1.txt,ZE1一對一 score=198（Frank / 脛前肌 / 左 / a09 / 09-09 / #1｜建議ZE1 Ch1）；ZE2一對一 score=143（Frank / 脛前肌 / 左 / 09-09 / #1｜建議ZE2 Ch2）
可比對,complete,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_a09_2.csv,09-09_09-45-46_944_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_2.txt,09-09_10-12-46_289_Ch2_(Frank 左脛前肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 脛前肌 / 左 / a09 / 09-09 / #2｜建議ZE1 Ch1）；ZE2一對一 score=143（Frank / 脛前肌 / 左 / 09-09 / #2｜建議ZE2 Ch2）
可比對,complete,Frank,脛前肌,左,a10,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_a10_1.csv,09-09_09-52-57_312_ExgCh1Data_(Frank 左脛前肌)_a10_褲XL_1.txt,09-03_11-44-33_364_Ch2(Frank 左脛前肌).txt,ZE1一對一 score=198（Frank / 脛前肌 / 左 / a10 / 09-09 / #1｜建議ZE1 Ch1）；ZE2一對一 score=115（Frank / 脛前肌 / 左｜建議ZE2 Ch2）
